Cow_id, Pixel_id, times of visiting back to pixel, Interval days,Vegetation class,Northing,Easting
14492,1103,2,1,4,,5132839.3,434768.6
14492,2127,1,0,2,,5133214.3,434828.6
14492,2128,1,0,2,,5133214.3,434843.6
14492,80,1,0,4,,5132344.3,434408.6
14492,81,3,9,4,,5132344.3,434423.6
14492,1106,1,0,4,,5132839.3,434813.6
14492,3154,1,0,2,,5133529.3,435128.6
14492,3155,1,0,2,,5133529.3,435143.6
14492,2131,1,0,4,,5133214.3,434888.6
14492,2132,1,0,4,,5133214.3,434903.6
14492,2135,1,0,4,,5133214.3,434948.6
14492,2136,1,0,4,,5133214.3,434963.6
14492,89,1,0,4,,5132344.3,434543.6
14492,93,1,0,4,,5132359.3,434363.6
14492,1118,1,0,2,,5132839.3,434993.6
14492,2142,1,0,3,,5133214.3,435053.6
14492,1119,2,6,3,,5132839.3,435008.6
14492,96,1,0,4,,5132359.3,434408.6
14492,97,1,0,4,,5132359.3,434423.6
14492,98,1,0,4,,5132359.3,434438.6
14492,2150,1,0,1,,5133229.3,434513.6
14492,1127,2,7,3,,5132854.3,434558.6
14492,2152,1,0,1,,5133229.3,434543.6
14492,3179,1,0,3,,5133544.3,434693.6
14492,1133,2,9,4,,5132854.3,434648.6
14492,110,1,0,4,,5132374.3,434363.6
14492,111,2,5,4,,5132374.3,434378.6
14492,112,1,0,4,,5132374.3,434393.6
14492,1137,1,0,4,,5132854.3,434708.6
14492,114,1,0,4,,5132374.3,434423.6
14492,1139,6,12,4,,5132854.3,434738.6
14492,1141,1,0,4,,5132854.3,434768.6
14492,118,1,0,4,,5132374.3,434483.6
14492,1144,1,0,4,,5132854.3,434813.6
14492,1145,2,8,4,,5132854.3,434828.6
14492,2169,1,0,2,,5133229.3,434798.6
14492,123,1,0,4,,5132374.3,434558.6
14492,3197,1,0,1,,5133544.3,434963.6
14492,2175,2,12,4,,5133229.3,434888.6
14492,1151,1,0,2,,5132854.3,434918.6
14492,128,1,0,4,,5132389.3,434378.6
14492,1153,1,0,2,,5132854.3,434948.6
14492,2179,1,0,4,,5133229.3,434948.6
14492,1156,1,0,3,,5132854.3,434993.6
14492,1157,3,4,3,,5132854.3,435008.6
14492,1160,1,0,2,,5132869.3,434483.6
14492,2186,1,0,1,,5133229.3,435053.6
14492,1163,1,0,3,,5132869.3,434528.6
14492,139,1,0,4,,5132389.3,434543.6
14492,1165,1,0,3,,5132869.3,434558.6
14492,142,1,0,4,,5132389.3,434588.6
14492,3214,1,0,2,,5133559.3,434393.6
14492,2192,1,0,1,,5133244.3,434483.6
14492,1169,1,0,4,,5132869.3,434618.6
14492,2194,1,0,1,,5133244.3,434513.6
14492,1173,4,7,4,,5132869.3,434678.6
14492,1175,2,9,4,,5132869.3,434708.6
14492,151,1,0,4,,5132404.3,434438.6
14492,1176,1,0,4,,5132869.3,434723.6
14492,152,1,0,4,,5132404.3,434453.6
14492,153,1,0,4,,5132404.3,434468.6
14492,3226,1,0,1,,5133559.3,434573.6
14492,154,1,0,4,,5132404.3,434483.6
14492,156,2,9,4,,5132404.3,434513.6
14492,158,2,2,4,,5132404.3,434543.6
14492,2207,1,0,2,,5133244.3,434708.6
14492,2209,1,0,2,,5133244.3,434738.6
14492,1186,1,0,2,,5132869.3,434873.6
14492,168,3,7,3,,5132419.3,434393.6
14492,1193,1,0,3,,5132869.3,434978.6
14492,3241,2,13,3,,5133559.3,434798.6
14492,1194,2,2,3,,5132869.3,434993.6
14492,2218,1,0,4,,5133244.3,434873.6
14492,1195,1,0,3,,5132869.3,435008.6
14492,2220,1,0,4,,5133244.3,434903.6
14492,3246,2,8,3,,5133559.3,434873.6
14492,2222,1,0,4,,5133244.3,434933.6
14492,3247,1,0,3,,5133559.3,434888.6
14492,1203,1,0,3,,5132884.3,434543.6
14492,2230,1,0,1,,5133244.3,435053.6
14492,184,1,0,4,,5132419.3,434633.6
14492,1212,2,10,4,,5132884.3,434678.6
14492,189,2,7,3,,5132434.3,434393.6
14492,1213,1,0,4,,5132884.3,434693.6
14492,2239,1,0,1,,5133259.3,434528.6
14492,1216,1,0,4,,5132884.3,434738.6
14492,3265,1,0,4,,5133559.3,435158.6
14492,1217,1,0,2,,5132884.3,434753.6
14492,195,1,0,2,,5132434.3,434483.6
14492,196,1,0,4,,5132434.3,434498.6
14492,1220,1,0,4,,5132884.3,434798.6
14492,1222,2,8,4,,5132884.3,434828.6
14492,1223,2,8,4,,5132884.3,434843.6
14492,2247,1,0,2,,5133259.3,434648.6
14492,1224,1,0,2,,5132884.3,434858.6
14492,2248,1,0,2,,5133259.3,434663.6
14492,2249,1,0,2,,5133259.3,434678.6
14492,201,1,0,4,,5132434.3,434573.6
14492,202,1,0,2,,5132434.3,434588.6
14492,206,2,2,4,,5132434.3,434648.6
14492,208,1,0,4,,5132434.3,434678.6
14492,3280,1,0,1,,5133574.3,434543.6
14492,2257,1,0,3,,5133259.3,434798.6
14492,209,1,0,4,,5132434.3,434693.6
14492,212,1,0,3,,5132449.3,434408.6
14492,1237,1,0,2,,5132899.3,434468.6
14492,1239,1,0,2,,5132899.3,434498.6
14492,2263,2,1,4,,5133259.3,434888.6
14492,3289,1,0,4,,5133574.3,434678.6
14492,2267,1,0,4,,5133259.3,434948.6
14492,3292,1,0,2,,5133574.3,434723.6
14492,1246,2,2,4,,5132899.3,434603.6
14492,3295,1,0,2,,5133574.3,434768.6
14492,1251,1,0,4,,5132899.3,434678.6
14492,3301,1,0,3,,5133574.3,434858.6
14492,229,1,0,3,,5132449.3,434663.6
14492,230,1,0,3,,5132449.3,434678.6
14492,1255,1,0,2,,5132899.3,434738.6
14492,1256,1,0,2,,5132899.3,434753.6
14492,3306,1,0,1,,5133574.3,434933.6
14492,1258,1,0,2,,5132899.3,434783.6
14492,236,1,0,3,,5132464.3,434408.6
14492,1265,1,0,2,,5132899.3,434888.6
14492,2289,1,0,2,,5133274.3,434618.6
14492,1266,1,0,2,,5132899.3,434903.6
14492,2291,1,0,2,,5133274.3,434648.6
14492,1270,1,0,3,,5132899.3,434963.6
14492,1271,1,0,3,,5132899.3,434978.6
14492,1273,1,0,3,,5132899.3,435008.6
14492,1274,1,0,4,,5132899.3,435023.6
14492,2300,1,0,3,,5133274.3,434783.6
14492,1277,1,0,2,,5132914.3,434483.6
14492,3326,1,0,3,,5133589.3,434378.6
14492,1280,1,0,4,,5132914.3,434528.6
14492,1281,1,0,4,,5132914.3,434543.6
14492,258,1,0,4,,5132464.3,434738.6
14492,2307,1,0,4,,5133274.3,434888.6
14492,1284,1,0,4,,5132914.3,434588.6
14492,2312,1,0,4,,5133274.3,434963.6
14492,1288,1,0,4,,5132914.3,434648.6
14492,1290,2,5,4,,5132914.3,434678.6
14492,1291,1,0,4,,5132914.3,434693.6
14492,267,1,0,4,,5132479.3,434513.6
14492,3340,1,0,1,,5133589.3,434588.6
14492,2321,1,0,1,,5133274.3,435098.6
14492,1300,2,6,2,,5132914.3,434828.6
14492,1301,1,0,2,,5132914.3,434843.6
14492,3349,2,5,2,,5133589.3,434723.6
14492,1303,1,0,2,,5132914.3,434873.6
14492,2328,2,10,1,,5133289.3,434528.6
14492,3352,1,0,2,,5133589.3,434768.6
14492,281,1,0,4,,5132479.3,434723.6
14492,3354,2,1,3,,5133589.3,434798.6
14492,1306,1,0,3,,5132914.3,434918.6
14492,3355,1,0,3,,5133589.3,434813.6
14492,1307,1,0,3,,5132914.3,434933.6
14492,284,1,0,4,,5132479.3,434768.6
14492,3356,1,0,3,,5133589.3,434828.6
14492,2335,1,0,2,,5133289.3,434633.6
14492,1313,2,1,4,,5132914.3,435023.6
14492,289,1,0,2,,5132494.3,434453.6
14492,2337,1,0,2,,5133289.3,434663.6
14492,2338,1,0,2,,5133289.3,434678.6
14492,1315,1,0,4,,5132929.3,434468.6
14492,292,1,0,2,,5132494.3,434498.6
14492,2341,1,0,3,,5133289.3,434723.6
14492,294,1,0,2,,5132494.3,434528.6
14492,1319,1,0,4,,5132929.3,434528.6
14492,296,1,0,2,,5132494.3,434558.6
14492,2344,1,0,3,,5133289.3,434768.6
14492,297,1,0,4,,5132494.3,434573.6
14492,1324,1,0,4,,5132929.3,434603.6
14492,2348,1,0,4,,5133289.3,434828.6
14492,301,1,0,4,,5132494.3,434633.6
14492,2352,2,4,4,,5133289.3,434888.6
14492,306,1,0,4,,5132494.3,434708.6
14492,308,1,0,4,,5132494.3,434738.6
14492,2357,1,0,4,,5133289.3,434963.6
14492,2358,1,0,3,,5133289.3,434978.6
14492,2359,1,0,3,,5133289.3,434993.6
14492,312,1,0,4,,5132494.3,434798.6
14492,2361,2,4,4,,5133289.3,435023.6
14492,3385,1,0,3,,5133604.3,434408.6
14492,1339,1,0,2,,5132929.3,434828.6
14492,1340,3,11,2,,5132929.3,434843.6
14492,3392,1,0,1,,5133604.3,434513.6
14492,1344,1,0,3,,5132929.3,434903.6
14492,1347,1,0,3,,5132929.3,434948.6
14492,1349,1,0,3,,5132929.3,434978.6
14492,329,1,0,4,,5132509.3,434648.6
14492,3403,1,0,4,,5133604.3,434678.6
14492,3405,1,0,1,,5133604.3,434708.6
14492,3406,1,0,2,,5133604.3,434723.6
14492,1358,1,0,4,,5132944.3,434513.6
14492,1360,1,0,4,,5132944.3,434543.6
14492,3409,1,0,2,,5133604.3,434768.6
14492,1361,1,0,4,,5132944.3,434558.6
14492,3410,2,7,3,,5133604.3,434783.6
14492,1363,1,0,4,,5132944.3,434588.6
14492,3413,1,0,3,,5133604.3,434828.6
14492,3415,1,0,1,,5133604.3,434858.6
14492,3416,1,0,1,,5133619.3,434333.6
14492,345,1,0,2,,5132524.3,434483.6
14492,3417,1,0,3,,5133619.3,434348.6
14492,349,1,0,2,,5132524.3,434543.6
14492,2397,1,0,4,,5133304.3,434888.6
14492,2399,1,0,4,,5133304.3,434918.6
14492,1377,1,0,2,,5132944.3,434798.6
14492,2404,1,0,3,,5133304.3,434993.6
14492,1385,1,0,3,,5132944.3,434918.6
14492,3434,1,0,1,,5133619.3,434603.6
14492,1386,1,0,3,,5132944.3,434933.6
14492,2411,1,0,3,,5133304.3,435098.6
14492,363,1,0,2,,5132524.3,434753.6
14492,2414,1,0,1,,5133319.3,434468.6
14492,1391,1,0,4,,5132944.3,435008.6
14492,2415,1,0,1,,5133319.3,434483.6
14492,1392,1,0,4,,5132944.3,435023.6
14492,3441,1,0,1,,5133619.3,434708.6
14492,369,1,0,2,,5132524.3,434843.6
14492,1393,1,0,4,,5132944.3,435038.6
14492,2418,1,0,1,,5133319.3,434528.6
14492,3443,2,1,3,,5133619.3,434738.6
14492,1395,1,0,4,,5132959.3,434468.6
14492,372,1,0,2,,5132539.3,434453.6
14492,2421,1,0,3,,5133319.3,434573.6
14492,3446,1,0,3,,5133619.3,434783.6
14492,1398,1,0,4,,5132959.3,434513.6
14492,3448,1,0,3,,5133619.3,434813.6
14492,2425,1,0,2,,5133319.3,434633.6
14492,3451,1,0,1,,5133634.3,434333.6
14492,382,2,1,4,,5132539.3,434603.6
14492,1408,1,0,2,,5132959.3,434663.6
14492,1409,1,0,2,,5132959.3,434678.6
14492,387,1,0,2,,5132539.3,434678.6
14492,1413,1,0,2,,5132959.3,434738.6
14492,3462,1,0,1,,5133634.3,434498.6
14492,2439,1,0,4,,5133319.3,434843.6
14492,393,2,3,4,,5132539.3,434768.6
14492,1418,1,0,2,,5132959.3,434813.6
14492,1421,1,0,2,,5132959.3,434858.6
14492,2445,2,4,4,,5133319.3,434933.6
14492,1423,1,0,2,,5132959.3,434888.6
14492,2447,1,0,3,,5133319.3,434963.6
14492,399,1,0,2,,5132539.3,434858.6
14492,1424,1,0,3,,5132959.3,434903.6
14492,3474,1,0,1,,5133634.3,434678.6
14492,2450,1,0,3,,5133319.3,435008.6
14492,403,1,0,2,,5132554.3,434468.6
14492,3475,1,0,1,,5133634.3,434693.6
14492,2452,1,0,3,,5133319.3,435038.6
14492,3477,1,0,1,,5133634.3,434723.6
14492,2454,1,0,3,,5133319.3,435068.6
14492,1430,1,0,4,,5132959.3,434993.6
14492,3478,1,0,3,,5133634.3,434738.6
14492,3479,2,7,3,,5133634.3,434753.6
14492,407,1,0,4,,5132554.3,434528.6
14492,1431,1,0,4,,5132959.3,435008.6
14492,408,2,1,4,,5132554.3,434543.6
14492,1433,1,0,4,,5132959.3,435038.6
14492,3481,1,0,3,,5133634.3,434783.6
14492,1437,1,0,4,,5132974.3,434498.6
14492,3485,2,5,1,,5133649.3,434333.6
14492,3486,1,0,1,,5133649.3,434348.6
14492,1440,1,0,2,,5132974.3,434543.6
14492,417,2,1,2,,5132554.3,434678.6
14492,2467,1,0,3,,5133334.3,434588.6
14492,421,1,0,4,,5132554.3,434738.6
14492,422,1,0,4,,5132554.3,434753.6
14492,3494,2,2,1,,5133649.3,434468.6
14492,2471,1,0,2,,5133334.3,434648.6
14492,424,1,0,4,,5132554.3,434783.6
14492,3496,1,0,1,,5133649.3,434498.6
14492,431,1,0,2,,5132554.3,434888.6
14492,434,2,4,4,,5132569.3,434468.6
14492,1458,1,0,2,,5132974.3,434813.6
14492,3507,2,2,1,,5133649.3,434663.6
14492,435,1,0,4,,5132569.3,434483.6
14492,2486,2,4,4,,5133334.3,434873.6
14492,440,1,0,4,,5132569.3,434558.6
14492,1464,1,0,3,,5132974.3,434903.6
14492,2488,1,0,4,,5133334.3,434903.6
14492,1467,1,0,2,,5132974.3,434948.6
14492,3520,1,0,1,,5133664.3,434363.6
14492,451,1,0,4,,5132569.3,434723.6
14492,1475,1,0,4,,5132989.3,434468.6
14492,3526,2,7,1,,5133664.3,434453.6
14492,454,1,0,4,,5132569.3,434768.6
14492,1480,1,0,2,,5132989.3,434543.6
14492,459,1,0,2,,5132569.3,434843.6
14492,3532,1,0,1,,5133664.3,434543.6
14492,2508,1,0,1,,5133349.3,434513.6
14492,2510,1,0,1,,5133349.3,434543.6
14492,464,2,1,2,,5132569.3,434918.6
14492,2512,1,0,3,,5133349.3,434573.6
14492,1488,1,0,2,,5132989.3,434663.6
14492,1489,1,0,2,,5132989.3,434678.6
14492,2514,1,0,2,,5133349.3,434603.6
14492,468,1,0,4,,5132584.3,434483.6
14492,469,1,0,4,,5132584.3,434498.6
14492,3542,1,0,1,,5133664.3,434693.6
14492,472,1,0,4,,5132584.3,434543.6
14492,3545,1,0,1,,5133664.3,434738.6
14492,1501,1,0,3,,5132989.3,434858.6
14492,3549,1,0,3,,5133679.3,434318.6
14492,481,1,0,4,,5132584.3,434678.6
14492,2529,1,0,4,,5133349.3,434828.6
14492,482,1,0,4,,5132584.3,434693.6
14492,2534,1,0,4,,5133349.3,434903.6
14492,2535,1,0,4,,5133349.3,434918.6
14492,3560,1,0,1,,5133679.3,434483.6
14492,488,1,0,4,,5132584.3,434783.6
14492,1513,2,4,4,,5132989.3,435038.6
14492,3563,2,2,1,,5133679.3,434528.6
14492,1517,1,0,4,,5133004.3,434498.6
14492,3567,2,11,1,,5133679.3,434588.6
14492,3569,2,6,3,,5133679.3,434618.6
14492,498,1,0,4,,5132584.3,434933.6
14492,2548,1,0,3,,5133349.3,435113.6
14492,501,1,0,4,,5132599.3,434468.6
14492,2554,1,0,1,,5133364.3,434498.6
14492,3581,2,16,3,,5133694.3,434333.6
14492,3584,2,9,1,,5133694.3,434378.6
14492,1536,1,0,2,,5133004.3,434783.6
14492,2561,2,1,3,,5133364.3,434603.6
14492,1538,1,0,2,,5133004.3,434813.6
14492,522,1,0,4,,5132599.3,434783.6
14492,1546,1,0,4,,5133004.3,434933.6
14492,1551,1,0,4,,5133004.3,435008.6
14492,528,1,0,2,,5132599.3,434873.6
14492,529,1,0,2,,5132599.3,434888.6
14492,2581,1,0,4,,5133364.3,434903.6
14492,3607,1,0,1,,5133694.3,434723.6
14492,536,2,5,4,,5132614.3,434468.6
14492,538,1,0,4,,5132614.3,434498.6
14492,540,2,4,4,,5132614.3,434528.6
14492,2588,1,0,3,,5133364.3,435008.6
14492,3616,1,0,1,,5133709.3,434423.6
14492,1570,2,1,2,,5133019.3,434678.6
14492,548,1,0,2,,5132614.3,434648.6
14492,2598,1,0,1,,5133379.3,434453.6
14492,557,1,0,4,,5132614.3,434783.6
14492,2608,2,9,3,,5133379.3,434603.6
14492,1584,1,0,3,,5133019.3,434888.6
14492,3632,1,0,1,,5133709.3,434663.6
14492,2609,1,0,3,,5133379.3,434618.6
14492,1586,1,0,4,,5133019.3,434918.6
14492,3634,1,0,1,,5133709.3,434693.6
14492,3636,1,0,3,,5133724.3,434288.6
14492,1592,1,0,4,,5133019.3,435008.6
14492,569,1,0,4,,5132614.3,434963.6
14492,2618,1,0,4,,5133379.3,434753.6
14492,1594,1,0,4,,5133019.3,435038.6
14492,571,2,7,4,,5132629.3,434468.6
14492,3644,1,0,1,,5133724.3,434408.6
14492,1597,1,0,4,,5133034.3,434468.6
14492,2627,1,0,1,,5133379.3,434888.6
14492,1610,1,0,2,,5133034.3,434663.6
14492,590,1,0,4,,5132629.3,434753.6
14492,592,1,0,4,,5132629.3,434783.6
14492,2642,1,0,4,,5133379.3,435113.6
14492,2645,1,0,1,,5133394.3,434438.6
14492,1624,1,0,3,,5133034.3,434873.6
14492,2649,1,0,3,,5133394.3,434498.6
14492,3673,1,0,1,,5133739.3,434438.6
14492,606,2,7,4,,5132644.3,434468.6
14492,1631,1,0,4,,5133034.3,434978.6
14492,608,1,0,4,,5132644.3,434498.6
14492,610,1,0,4,,5132644.3,434528.6
14492,2659,1,0,4,,5133394.3,434648.6
14492,3685,1,0,3,,5133739.3,434618.6
14492,1638,1,0,4,,5133049.3,434468.6
14492,2662,1,0,4,,5133394.3,434693.6
14492,3687,1,0,1,,5133754.3,434303.6
14492,617,2,5,2,,5132644.3,434633.6
14492,1647,1,0,2,,5133049.3,434603.6
14492,2672,1,0,4,,5133394.3,434843.6
14492,2673,1,0,3,,5133394.3,434858.6
14492,625,1,0,4,,5132644.3,434753.6
14492,2674,1,0,1,,5133394.3,434873.6
14492,2675,1,0,1,,5133394.3,434888.6
14492,2676,1,0,1,,5133394.3,434903.6
14492,630,1,0,4,,5132644.3,434828.6
14492,3706,1,0,3,,5133769.3,434333.6
14492,635,2,4,4,,5132644.3,434903.6
14492,3707,1,0,3,,5133769.3,434348.6
14492,639,1,0,4,,5132644.3,434963.6
14492,641,3,9,4,,5132659.3,434468.6
14492,1665,1,0,2,,5133049.3,434873.6
14492,2690,1,0,4,,5133394.3,435113.6
14492,1667,1,0,4,,5133049.3,434903.6
14492,644,2,4,4,,5132659.3,434513.6
14492,645,1,0,4,,5132659.3,434528.6
14492,3720,1,0,3,,5133784.3,434348.6
14492,650,1,0,2,,5132659.3,434603.6
14492,1676,1,0,4,,5133049.3,435038.6
14492,2700,1,0,1,,5133409.3,434543.6
14492,2701,1,0,1,,5133409.3,434558.6
14492,1677,1,0,4,,5133049.3,435053.6
14492,2702,1,0,4,,5133409.3,434573.6
14492,3727,1,0,3,,5133784.3,434453.6
14492,1681,1,0,2,,5133064.3,434498.6
14492,658,1,0,2,,5132659.3,434723.6
14492,3730,1,0,1,,5133799.3,434393.6
14492,661,1,0,4,,5132659.3,434768.6
14492,662,2,4,4,,5132659.3,434783.6
14492,2713,1,0,3,,5133409.3,434738.6
14492,1689,1,0,1,,5133064.3,434618.6
14492,2717,1,0,2,,5133409.3,434798.6
14492,672,1,0,4,,5132659.3,434933.6
14492,673,1,0,4,,5132659.3,434948.6
14492,2721,1,0,3,,5133409.3,434858.6
14492,2726,1,0,4,,5133409.3,434933.6
14492,680,3,9,2,,5132674.3,434513.6
14492,2728,1,0,3,,5133409.3,434963.6
14492,682,1,0,4,,5132674.3,434543.6
14492,1708,1,0,4,,5133064.3,434903.6
14492,2734,1,0,1,,5133409.3,435053.6
14492,687,2,8,2,,5132674.3,434618.6
14492,688,1,0,2,,5132674.3,434633.6
14492,1712,1,0,4,,5133064.3,434963.6
14492,2737,1,0,4,,5133409.3,435098.6
14492,691,1,0,2,,5132674.3,434678.6
14492,1718,1,0,3,,5133064.3,435053.6
14492,2742,1,0,1,,5133424.3,434423.6
14492,2743,1,0,3,,5133424.3,434438.6
14492,697,4,13,4,,5132674.3,434768.6
14492,2747,1,0,3,,5133424.3,434498.6
14492,699,2,9,4,,5132674.3,434798.6
14492,1725,1,0,3,,5133079.3,434543.6
14492,701,1,0,4,,5132674.3,434828.6
14492,2750,1,0,3,,5133424.3,434543.6
14492,705,1,0,4,,5132674.3,434888.6
14492,713,3,9,4,,5132689.3,434468.6
14492,716,1,0,4,,5132689.3,434513.6
14492,2769,3,11,4,,5133424.3,434828.6
14492,724,1,0,2,,5132689.3,434633.6
14492,2776,1,0,4,,5133424.3,434933.6
14492,730,1,0,2,,5132689.3,434723.6
14492,1759,2,2,3,,5133079.3,435053.6
14492,2795,1,0,3,,5133439.3,434468.6
14492,751,1,0,4,,5132704.3,434498.6
14492,1789,2,2,2,,5133094.3,434873.6
14492,2815,1,0,3,,5133439.3,434768.6
14492,767,1,0,2,,5132704.3,434738.6
14492,769,1,0,2,,5132704.3,434768.6
14492,2827,2,10,4,,5133439.3,434948.6
14492,2832,1,0,1,,5133439.3,435023.6
14492,2840,1,0,3,,5133439.3,435143.6
14492,2842,1,0,2,,5133454.3,434408.6
14492,796,1,0,2,,5132719.3,434633.6
14492,797,1,0,2,,5132719.3,434648.6
14492,1822,1,0,2,,5133109.3,434738.6
14492,1824,1,0,2,,5133109.3,434768.6
14492,802,1,0,2,,5132719.3,434723.6
14492,1828,1,0,2,,5133109.3,434828.6
14492,805,1,0,2,,5132719.3,434768.6
14492,806,2,13,2,,5132719.3,434783.6
14492,807,1,0,4,,5132719.3,434798.6
14492,2855,1,0,4,,5133454.3,434603.6
14492,808,1,0,4,,5132719.3,434813.6
14492,2858,1,0,4,,5133454.3,434648.6
14492,1835,1,0,2,,5133109.3,434933.6
14492,812,2,1,4,,5132719.3,434873.6
14492,817,1,0,4,,5132719.3,434948.6
14492,1841,2,1,1,,5133109.3,435023.6
14492,1842,1,0,3,,5133109.3,435038.6
14492,819,1,0,4,,5132719.3,434978.6
14492,2867,1,0,4,,5133454.3,434783.6
14492,2870,1,0,4,,5133454.3,434828.6
14492,822,1,0,4,,5132734.3,434483.6
14492,2873,1,0,3,,5133454.3,434873.6
14492,2875,1,0,4,,5133454.3,434903.6
14492,833,1,0,2,,5132734.3,434648.6
14492,2881,1,0,1,,5133454.3,434993.6
14492,835,1,0,2,,5132734.3,434678.6
14492,2883,1,0,1,,5133454.3,435023.6
14492,2884,1,0,1,,5133454.3,435038.6
14492,839,1,0,2,,5132734.3,434738.6
14492,844,2,3,4,,5132734.3,434813.6
14492,2895,2,10,2,,5133469.3,434438.6
14492,1872,1,0,4,,5133124.3,434858.6
14492,849,1,0,4,,5132734.3,434888.6
14492,1875,1,0,2,,5133124.3,434903.6
14492,2901,1,0,4,,5133469.3,434528.6
14492,1881,1,0,1,,5133124.3,434993.6
14492,1882,1,0,1,,5133124.3,435008.6
14492,860,1,0,2,,5132749.3,434498.6
14492,1885,1,0,1,,5133124.3,435053.6
14492,865,1,0,2,,5132749.3,434573.6
14492,1895,1,0,1,,5133139.3,434573.6
14492,2922,1,0,3,,5133469.3,434843.6
14492,2924,1,0,3,,5133469.3,434873.6
14492,879,1,0,2,,5132749.3,434783.6
14492,884,1,0,4,,5132749.3,434858.6
14492,1908,1,0,2,,5133139.3,434768.6
14492,885,1,0,4,,5132749.3,434873.6
14492,891,1,0,2,,5132749.3,434963.6
14492,2942,1,0,2,,5133469.3,435143.6
14492,1918,1,0,2,,5133139.3,434918.6
14492,896,1,0,2,,5132764.3,434483.6
14492,2944,1,0,2,,5133484.3,434393.6
14492,1940,1,0,1,,5133154.3,434603.6
14492,918,2,3,2,,5132764.3,434813.6
14492,919,1,0,4,,5132764.3,434828.6
14492,920,1,0,4,,5132764.3,434843.6
14492,2969,1,0,4,,5133484.3,434768.6
14492,2972,1,0,4,,5133484.3,434813.6
14492,925,1,0,4,,5132764.3,434918.6
14492,930,1,0,2,,5132764.3,434993.6
14492,2979,1,0,1,,5133484.3,434918.6
14492,2986,1,0,1,,5133484.3,435023.6
14492,1968,1,0,1,,5133154.3,435023.6
14492,1971,1,0,3,,5133154.3,435068.6
14492,2997,1,0,3,,5133499.3,434393.6
14492,1974,1,0,4,,5133169.3,434468.6
